,carat,clarity,color,cut,x dimension,y dimension,z dimension,depth,table,price
114,1.28,IF,G,Premium,6.3,6.28,6.29,62.5,57.0,7200.0
115,0.9,SI2,H,Premium,6.2,6.21,3.84,62.4,59.0,6800.0
116,1.1,VVS1,E,Very Good,6.7,6.73,4.15,62.2,56.0,9500.0
117,1.03,IF,I,Good,6.5,6.52,4.04,62.4,58.0,7600.0
118,0.45,SI1,F,Fair,4.9,4.88,3.25,62.5,54.0,2100.0
119,0.7,VVS2,G,Ideal,5.7,5.54,3.54,62.4,55.0,4300.0
120,0.61,I1,Colorless,Premium,5.4,5.41,3.35,62.4,56.0,2200.0
121,1.25,SI2,D,Good,6.9,7.47,4.26,62.4,58.0,10400.0
122,0.55,SI1,I,Fair,5.4,5.39,3.33,62.6,57.0,2800.0
123,0.77,VVS1,E,Premium,6.3,5.1,3.9,62.3,59.0,7800.0
124,0.65,I1,G,Very Good,5.6,5.57,3.47,62.4,56.0,3400.0
125,0.5,VVS1,I,Ideal,5.2,5.19,2.99,62.8,55.0,3200.0
126,0.85,SI2,F,Very Good,6.1,6.11,3.78,62.4,57.0,6400.0
127,0.53,I1,G,Good,5.6,4.53,3.46,62.4,59.0,2300.0
128,1.05,VVS2,E,Ideal,6.6,6.62,4.09,62.6,57.0,9300.0
129,0.4,SI1,F,Fair,4.7,5.06,2.92,62.1,56.0,2400.0
130,0.79,I1,H,Very Good,5.9,5.88,3.65,62.5,57.0,2600.0
131,0.75,SI2,I,Good,5.9,5.89,3.64,62.4,56.0,4500.0
132,0.95,VVS2,G,Ideal,6.4,6.41,3.97,62.4,58.0,6900.0
133,1.15,SI1,F,Very Good,6.9,6.88,4.27,62.4,56.0,9600.0
134,1.02,IF,I,Premium,6.5,6.52,4.03,62.6,57.0,7700.0
135,0.65,SI2,E,Good,5.6,5.58,3.47,62.4,56.0,3300.0
136,0.8,I1,G,Fair,6.1,6.08,3.3,62.5,57.0,4000.0
137,1.03,VVS2,H,Premium,6.5,6.53,4.04,62.7,58.0,7900.0
138,1.3,SI1,Colorless,Very Good,7.1,7.49,4.39,62.4,56.0,10300.0
139,0.7,VVS1,I,Fair,5.8,5.77,3.59,62.4,55.0,4300.0
140,0.4,SI2,F,Premium,4.8,4.78,3.1,62.4,58.0,2100.0
141,1.05,I1,G,Good,6.7,6.68,4.14,62.4,56.0,7400.0
142,0.85,VVS2,H,Fair,6.2,6.21,3.42,62.2,57.0,6500.0
143,0.72,SI1,I,Very Good,5.7,5.69,3.52,62.8,57.0,4100.0
144,0.45,VVS1,G,Ideal,4.9,5.1,3.03,62.1,59.0,2600.0
145,1.2,SI2,F,Premium,6.9,6.88,4.27,62.5,56.0,10100.0
146,0.5,VVS1,I,Fair,5.1,5.12,3.16,62.6,57.0,3200.0
147,0.6,SI1,G,Very Good,5.5,5.52,3.42,62.4,56.0,3500.0
148,1.4,VVS2,H,Good,7.2,8.03,4.45,62.7,58.0,12000.0
149,0.99,IF,I,Fair,6.4,6.41,3.97,62.4,55.0,8000.0
150,0.75,SI1,F,Premium,5.9,5.91,3.66,62.3,59.0,4600.0
151,1.1,VVS2,F,Fair,6.8,6.79,4.21,62.4,57.0,9400.0
152,0.4,SI1,I,Premium,4.7,4.69,3.29,62.2,55.0,2200.0
153,0.61,I1,G,Very Good,5.4,5.43,3.35,62.4,59.0,2400.0
154,0.75,VVS1,H,Good,5.9,5.89,3.34,62.7,56.0,4400.0
155,1.35,SI2,E,Ideal,7.2,7.67,4.46,62.8,57.0,10700.0
156,1.06,VVS1,I,Fair,6.6,6.61,4.09,62.6,55.0,7900.0
157,0.9,SI2,G,Premium,6.3,6.31,3.9,62.4,58.0,6900.0
158,0.6,IF,H,Very Good,5.5,5.49,3.41,62.4,56.0,3600.0
159,0.57,I1,I,Ideal,5.7,4.62,3.53,62.4,57.0,2500.0
160,0.85,VVS2,F,Premium,6.2,5.79,3.84,62.4,59.0,6600.0
161,1.25,SI2,G,Fair,6.9,6.91,4.82,62.3,58.0,10500.0
162,0.95,SI2,D,Good,6.4,6.38,3.96,62.4,56.0,7100.0
163,0.81,IF,I,Very Good,6.4,5.19,3.98,62.2,58.0,7600.0
164,0.45,VVS1,E,Premium,4.8,4.81,3.42,62.5,55.0,2500.0
165,1.3,SI1,G,Ideal,7.0,7.01,4.34,62.4,57.0,9900.0
166,1.42,VVS2,H,Fair,6.6,6.62,6.61,62.6,58.0,8100.0
167,0.7,SI2,I,Very Good,5.8,5.77,3.58,62.4,56.0,4200.0
168,0.55,VVS1,F,Good,5.4,5.38,2.95,62.4,59.0,3300.0
169,1.2,I1,G,Premium,6.8,6.81,4.21,62.7,57.0,10100.0
170,1.05,VVS2,F,Very Good,6.6,6.65,4.11,62.4,58.0,9200.0
171,0.35,SI1,I,Premium,4.5,4.49,3.34,62.3,56.0,2100.0
172,0.8,VVS1,H,Fair,6.0,6.01,3.72,62.4,58.0,4900.0
173,0.5,SI2,E,Premium,5.1,5.11,3.17,62.5,55.0,2900.0
174,1.35,I1,I,Ideal,7.1,7.12,4.4,62.4,56.0,9900.0
175,0.65,SI2,F,Very Good,5.5,5.52,3.41,62.4,57.0,3400.0
176,1.15,VVS1,G,Premium,6.8,6.85,4.23,62.7,57.0,9800.0
177,0.4,SI2,H,Fair,4.7,5.07,2.91,62.1,58.0,2000.0
178,0.95,SI1,G,Ideal,6.4,6.42,3.96,62.4,56.0,7100.0
179,0.45,SI1,F,Very Good,4.9,4.89,3.24,62.4,59.0,2300.0
180,1.25,VVS2,H,Good,6.9,7.46,4.27,62.4,55.0,10400.0
181,0.85,SI2,E,Fair,6.1,6.13,3.78,62.4,58.0,6300.0
182,0.99,VVS1,G,Very Good,6.4,6.43,3.97,62.5,57.0,7500.0
